index,venues,cities,artists
0,Rod Laver Arena,Melbourne,Drake
1,Brisbane Entertainment Centre,Brisbane,Drake
2,Qudos Bank Arena,Sydney,Drake
3,Qudos Bank Arena,Sydney,Drake
4,Spark Arena,Auckland,Drake
5,Spark Arena,Auckland,Drake
6,Budweiser Stage,Toronto,Drake
7,Story,Miami Beach,Drake
8,Nathan Phillips Square,Toronto,Drake
9,Bellagio Hotel and Casino,Las Vegas,Drake
10,Ziggo Dome,Amsterdam,Drake
11,Ziggo Dome,Amsterdam,Drake
12,The SSE Hydro,Glasgow,Drake
13,The SSE Hydro,Glasgow,Drake
14,The O2 Arena,London,Drake
15,Lanxess Arena,Cologne,Drake
16,AccorHotels Arena,Paris,Drake
17,AccorHotels Arena,Paris,Drake
18,AccorHotels Arena,Paris,Drake
19,AccorHotels Arena,Paris,Drake
20,Barclaycard Arena,Hamburg,Drake
21,Mercedes-Benz Arena,Berlin,Drake
22,Royal Arena,Copenhagen,Drake
23,Telenor Arena,Fornebu,Drake
24,Ericsson Globe,Stockholm,Drake
25,Sportpaleis,Antwerp,Drake
26,Sportpaleis,Antwerp,Drake
27,Ziggo Dome,Amsterdam,Drake
28,König-Pilsener-Arena,Oberhausen,Drake
29,Barclaycard Arena,Birmingham,Drake
254,Schubas Tavern,Chicago,X Ambassadors
255,Great Scott,Boston,X Ambassadors
256,Bug Jar,Rochester,X Ambassadors
257,Bootleg Theater,Los Angeles,X Ambassadors
258,Air Canada Centre,Toronto,X Ambassadors
259,Centre Bell,Montreal,X Ambassadors
260,Wiltern Theatre,Los Angeles,X Ambassadors
261,SAP Center,San Jose,X Ambassadors
262,Taco Bell Arena,Boise,X Ambassadors
263,Roseland Ballroom,New York,X Ambassadors
264,Metropolis,Montreal,X Ambassadors
265,House of Blues,Boston,X Ambassadors
266,CD 101 Big Room,Columbus,X Ambassadors
267,The Pageant,St. Louis,X Ambassadors
268,Uptown Theater,Kansas City,X Ambassadors
269,Ogden Theatre,Denver,X Ambassadors
270,The Showbox SoDo,Seattle,X Ambassadors
271,The National,Richmond,X Ambassadors
272,Starland Ballroom,Sayreville,X Ambassadors
273,The Loft,Lansing,X Ambassadors
274,Paradise Rock Club,Boston,X Ambassadors
275,James Street North,Hamilton,X Ambassadors
276,KahBang Festival,Bangor,X Ambassadors
277,The Depot,Salt Lake City,X Ambassadors
278,First Avenue,Minneapolis,X Ambassadors
279,Royal Oak Music Theatre,Royal Oak,X Ambassadors
280,St. Augustine Amphitheatre,St. Augustine,X Ambassadors
281,Sunset Cove Amphitheater,Boca Raton,X Ambassadors
282,Santos Party House,New York,X Ambassadors
283,The Spot Underground,Providence,X Ambassadors